,slice feature,slice value,train size,test size,attack type,Attacker advantage,Positive predictive value,AUC,Epsilon lower bound_1,Epsilon lower bound_2,Epsilon lower bound_3,Epsilon lower bound_4,Epsilon lower bound_5
29,class,8,5851,600,THRESHOLD_ENTROPY_ATTACK,0.43666666666666665,0.9453869768944902,0.6749165384834501,6.814702528826124,6.810863325528416,6.807009326100658,6.803140416055496,6.799256479571631
30,class,9,5949,600,THRESHOLD_ATTACK,0.6956580937972768,0.9702857142857143,0.7941527987897126,7.297519202082631,7.2951122875538115,7.292699565834399,7.014850141679929,6.650014342310065
31,class,9,5949,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.661282767006779,7.660446953045339,7.658773226448315,7.657096693799715,7.655417345674899
32,class,9,5949,600,THRESHOLD_ENTROPY_ATTACK,0.6956580937972768,0.9702857142857143,0.7825677985095534,7.297519202082631,7.2951122875538115,7.292699565834399,7.290281008834585,7.287856588260261
33,correctly_classified,True,59904,2940,THRESHOLD_ATTACK,0.2719349598813884,0.9532174909299218,0.3644151589254826,3.5466541327213457,3.5034331012553404,3.4886605944099682,3.4614879010169517,3.435023843905697
34,correctly_classified,True,59904,2940,LOGISTIC_REGRESSION,1.0,1.0,1.0,9.971418288784506,9.971248117606097,9.970907688349952,9.97056714316227,9.970226481964069
35,correctly_classified,True,59904,2940,THRESHOLD_ENTROPY_ATTACK,0.3345121582286761,0.9532174909299218,0.3332488018244157,3.7254857109712325,3.7254353705489627,3.725385027592407,3.7253346821013107,3.7252843340754187
36,correctly_classified,False,96,3060,THRESHOLD_ATTACK,0.9970588235294118,1.0,0.9997991557734205,6.691904535696682,6.677511959595904,6.6629092430625025,6.648090159726126,6.63304820236917
37,correctly_classified,False,96,3060,LOGISTIC_REGRESSION,1.0,1.0,1.0,6.992083394252705,6.98677713366977,6.9760793964768375,6.965265989608759,6.954334384564253
38,correctly_classified,False,96,3060,THRESHOLD_ENTROPY_ATTACK,0.9967320261437909,1.0,0.9997923474945534,6.691904535696682,6.677511959595904,6.6629092430625025,6.648090159726126,6.63304820236917
