,slice feature,slice value,train size,test size,attack type,Attacker advantage,Positive predictive value,AUC,Epsilon lower bound_1,Epsilon lower bound_2,Epsilon lower bound_3,Epsilon lower bound_4,Epsilon lower bound_5
0,Entire dataset,,60000,6000,THRESHOLD_ATTACK,0.5186,0.9540820383948595,0.6937035041666667,9.315249544662423,9.314927635644812,9.31460562296843,9.314283506566488,9.313961286372146
1,Entire dataset,,60000,6000,LOGISTIC_REGRESSION,1.0,1.0,1.0,9.973106352480855,9.973022994386058,9.972856257347853,9.972689492503774,9.972522699844545
2,Entire dataset,,60000,6000,THRESHOLD_ENTROPY_ATTACK,0.5186,0.9540820383948595,0.6787238083333333,9.315249544662423,9.314927635644812,9.31460562296843,9.314283506566488,9.313961286372146
3,class,0,5923,600,THRESHOLD_ATTACK,0.06532134616466878,0.9089932473910375,0.4677884236591817,3.0583430236624483,2.878639753287814,2.743317398312499,2.6602750186396897,2.382462199048158
4,class,0,5923,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.656902947809837,7.6560671338482456,7.654393407250924,7.652716874602023,7.651037526476904
5,class,0,5923,600,THRESHOLD_ENTROPY_ATTACK,0.10921802014744775,0.9089932473910375,0.4460961505993585,3.0583430236624483,2.878639753287814,2.743317398312499,2.6602750186396897,2.382462199048158
6,class,1,6742,600,THRESHOLD_ATTACK,0.99,0.9992361747632142,0.9927893552852763,7.777177167021721,7.775489315451384,7.49467620012372,7.130077689187278,6.882529086181354
7,class,1,6742,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.786409768924151,7.785573954966711,7.783900228377715,7.782223695737166,7.780544347620429
8,class,1,6742,600,THRESHOLD_ENTROPY_ATTACK,0.99,0.9992365246602535,0.9923581034312271,7.777177167021721,7.775489315451384,7.773798610227482,7.772105041684338,7.770408600107083
9,class,2,5958,600,THRESHOLD_ATTACK,0.33499999999999996,0.9372345445965079,0.570058884413114,6.566587430606857,6.561574184344691,6.556535679271914,6.283298254662922,5.917587261234571
10,class,2,5958,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.6627943999134045,7.661958585952014,7.6602848593550945,7.658608326706597,7.656928978581886
11,class,2,5958,600,THRESHOLD_ENTROPY_ATTACK,0.33499999999999996,0.9372345445965079,0.5499655924806982,6.566587430606857,6.561574184344691,6.556535679271914,6.55147165957556,6.546381865536766
12,class,3,6131,600,THRESHOLD_ATTACK,0.31833333333333336,0.9374617737003057,0.6282422660794867,6.543908248664396,6.538630416709317,6.260555496864971,5.894754827848631,5.646286175301403
13,class,3,6131,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.691415862987898,7.690580049027469,7.688906322432469,7.687229789785903,7.685550441663126
14,class,3,6131,600,THRESHOLD_ENTROPY_ATTACK,0.31833333333333336,0.9374617737003057,0.6183159354102103,6.543908248664396,6.538630416709317,6.533324582010305,6.527990445838439,6.52262770465907
15,class,4,5842,600,THRESHOLD_ATTACK,0.4983333333333333,0.9510011395083835,0.7175935752596143,6.945750188928158,6.942388509514095,6.66285391915789,6.297697221908999,6.049720942202971
16,class,4,5842,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.643133841305322,7.642298027343257,7.6406243007449826,7.638947768095128,7.637268419969054
17,class,4,5842,600,THRESHOLD_ENTROPY_ATTACK,0.4983333333333333,0.9510011395083835,0.7082448933013809,6.945750188928158,6.942388509514095,6.939015491186294,6.935631057194399,6.932235130006158
18,class,5,5421,600,THRESHOLD_ATTACK,0.7833333333333333,0.9765807962529274,0.8561151079136692,7.324507448381609,7.322372837592419,7.041906847389824,6.677168129796552,6.429512254227779
19,class,5,5421,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.568345292303024,7.56750947833827,7.5658357517346,7.564159219079332,7.562479870947825
20,class,5,5421,600,THRESHOLD_ENTROPY_ATTACK,0.7833333333333333,0.9765807962529274,0.8489808153477217,7.324507448381609,7.322372837592419,7.320233660507828,7.318089897549854,7.315941529014336
21,class,6,5918,600,THRESHOLD_ATTACK,0.5564745972738538,0.9570641607258586,0.7341113270248959,7.063709576655088,7.060683584497727,6.7839119143098925,6.780892873761854,6.4188706090249426
22,class,6,5918,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.656058471219989,7.655222657258369,7.653548930660989,7.65187239801203,7.650193049886853
23,class,6,5918,600,THRESHOLD_ENTROPY_ATTACK,0.5564745972738538,0.9570641607258586,0.7209893545116594,7.063709576655088,7.060683584497727,7.057648407980823,7.054603991183082,7.051550277670914
24,class,7,6265,600,THRESHOLD_ATTACK,0.5449999999999999,0.9582441113490365,0.6873100558659218,7.105464180931377,6.822634489122988,6.457571586858418,6.209667034174424,6.019941905352735
