,slice feature,slice value,train size,test size,attack type,Attacker advantage,Positive predictive value,AUC,Epsilon lower bound_1,Epsilon lower bound_2,Epsilon lower bound_3,Epsilon lower bound_4,Epsilon lower bound_5
0,Entire dataset,,60000,1000,THRESHOLD_ATTACK,0.1684,0.9866009744745837,0.5818331583333334,6.827131437034621,6.803593260392289,6.7867834119895765,6.77948790120857,6.7683509358952945
1,Entire dataset,,60000,1000,LOGISTIC_REGRESSION,0.5551999999999999,1.0,0.8385023500000001,6.703477903213532,6.676801453521817,6.649394226704765,6.621215077392737,6.592219286372629
2,Entire dataset,,60000,1000,THRESHOLD_ENTROPY_ATTACK,0.16888333333333327,0.9866047119468545,0.582179,6.6288376008544505,6.621215077392737,6.607218882057844,6.592219286372629,6.585122767103473
3,class,0,5923,100,THRESHOLD_ATTACK,0.08493499915583314,0.9848083377495143,0.5395272665878776,4.183384474731205,3.847203737335284,3.8031240254877074,3.429423927175255,3.414697200672317
4,class,0,5923,100,LOGISTIC_REGRESSION,0.8197518149586358,1.0,0.9412510552085093,4.183384474731205,4.13544489060575,3.864409676995229,3.847203737335284,3.819751711594813
5,class,0,5923,100,THRESHOLD_ENTROPY_ATTACK,0.08493499915583314,0.9848953594176524,0.5394301874050311,4.183384474731205,3.847203737335284,3.8031240254877074,3.429423927175255,3.414697200672317
6,class,1,6742,100,THRESHOLD_ATTACK,0.32887867101750223,0.9853843905290851,0.3187303470780184,0.6356257967154548,0.6054520189121777,0.599714956233694,0.5950684875988032,0.5922570844643135
7,class,1,6742,100,LOGISTIC_REGRESSION,0.9221536636013052,1.0,0.9813452981311184,3.8422939217282077,3.830842704081717,3.829872177872301,3.8276967879146477,3.8274191751214124
8,class,1,6742,100,THRESHOLD_ENTROPY_ATTACK,0.34216552951646395,0.9853843905290851,0.3170542865618511,0.7404587681564765,0.7396473921147401,0.7388366739794149,0.7380266126842662,0.7372172071656484
9,class,2,5958,100,THRESHOLD_ATTACK,0.2620174555219872,0.9887594522787655,0.6372473984558576,5.55373738647753,5.466959958541616,5.411692613677271,5.371975313751568,5.336606141091838
10,class,2,5958,100,LOGISTIC_REGRESSION,0.5781570996978852,1.0,0.8472356495468278,5.466959958541616,5.371975313751568,5.267077011485771,5.255463796387156,5.167209785862093
11,class,2,5958,100,THRESHOLD_ENTROPY_ATTACK,0.2635280295401141,0.9887800897592819,0.6363242698892246,5.55373738647753,5.466959958541616,5.371975313751568,5.336606141091838,5.267077011485771
12,class,3,6131,100,THRESHOLD_ATTACK,0.06374000978633176,0.9849859759115658,0.5207086935247105,4.217897582891569,3.8817159888547996,3.837637197592171,3.4492084234687046,3.24029830776245
13,class,3,6131,100,LOGISTIC_REGRESSION,0.8127271244495189,0.999266862170088,0.9479236666122982,6.17604453970587,6.140676557918793,6.1040139107112985,6.065958368320347,6.026400098782188
14,class,3,6131,100,THRESHOLD_ENTROPY_ATTACK,0.06341379872777686,0.9849810199702922,0.5169743924319035,4.217897582891569,3.8817159888547996,3.837637197592171,3.4492084234687046,3.24029830776245
15,class,4,5842,100,THRESHOLD_ATTACK,0.35391646696336865,0.9899960768928991,0.694036288942143,5.756829689919668,5.6879306486151116,5.613948750519976,5.534076795760989,5.46190094228484
16,class,4,5842,100,LOGISTIC_REGRESSION,0.6877918521054434,1.0,0.9017459774049983,5.93898941024069,5.881870177774073,5.821298059307427,5.802137962482389,5.756829689919668
17,class,4,5842,100,THRESHOLD_ENTROPY_ATTACK,0.35545703526189665,0.9900137066771099,0.6887093461143444,5.756829689919668,5.6879306486151116,5.613948750519976,5.534076795760989,5.46190094228484
18,class,5,5421,100,THRESHOLD_ATTACK,0.10329090573694888,0.9839520958083833,0.5414655967533666,3.714565668680243,3.3614622837123562,3.1172263182331754,3.0330324313196066,2.9102950793160245
19,class,5,5421,100,LOGISTIC_REGRESSION,0.7624847814056447,1.0,0.9126987640656706,6.064795819184073,6.018286161674003,5.969511102712425,5.9182389900712105,5.86420077935799
20,class,5,5421,100,THRESHOLD_ENTROPY_ATTACK,0.10365984135768314,0.9839751255680459,0.5411861280206605,3.714565668680243,3.3614622837123562,3.1172263182331754,3.0330324313196066,2.9102950793160245
21,class,6,5918,100,THRESHOLD_ATTACK,0.2869246367015884,0.9890608875128999,0.6588627914836094,5.063751992229243,4.956779612908209,4.837151048438622,4.701510231264526,4.673402015643134
22,class,6,5918,100,LOGISTIC_REGRESSION,0.6767725582967219,1.0,0.9001723555255154,5.951914053695192,5.894794822150989,5.862037477617184,5.834222704714329,5.81506217615418
23,class,6,5918,100,THRESHOLD_ENTROPY_ATTACK,0.28743156471781006,0.9892062064313021,0.6591906049340994,5.063751992229243,4.956779612908209,4.837151048438622,4.701510231264526,4.673402015643134
24,class,7,6265,100,THRESHOLD_ATTACK,0.09090183559457299,0.9857165783983309,0.47724581005586597,3.9033351614270733,3.5061502024305184,3.4708269694887197,3.2619181162478013,3.177712522119919
25,class,7,6265,100,LOGISTIC_REGRESSION,0.5388108539505188,1.0,0.7118659217877095,5.891199739220459,5.826731375918486,5.770921468856841,5.757832341503145,5.716265935522491
26,class,7,6265,100,THRESHOLD_ENTROPY_ATTACK,0.17060654429369504,0.9857211615594417,0.4464708699122107,3.9033351614270733,3.5061502024305184,3.4708269694887197,3.2619181162478013,3.177712522119919
27,class,8,5851,100,THRESHOLD_ATTACK,0.5255699880362331,0.9928125591072442,0.7811562126132285,6.451281158515465,6.4173748947782565,6.382279578462435,6.345908848932812,6.308166590139938
28,class,8,5851,100,LOGISTIC_REGRESSION,0.6789882071440779,1.0,0.8717450008545548,6.576467565467604,6.548936998583654,6.546608334177863,6.525820387436454,6.51583064932922
29,class,8,5851,100,THRESHOLD_ENTROPY_ATTACK,0.526253631857802,0.9929563292412961,0.7841770637497864,6.451281158515465,6.4173748947782565,6.382279578462435,6.345908848932812,6.308166590139938
30,class,9,5949,100,THRESHOLD_ATTACK,0.2141099344427635,0.9874975956914791,0.6059514204067911,5.370463677893408,5.265565375300367,5.148455925989888,5.068976136795372,5.01593977337305
31,class,9,5949,100,LOGISTIC_REGRESSION,0.8329198184568835,1.0,0.9599495713565305,5.7060795994707805,5.664514844143666,5.632097703470292,5.606710896254646,5.55222575112454
32,class,9,5949,100,THRESHOLD_ENTROPY_ATTACK,0.2151050596738947,0.9879518072289156,0.6156454866364095,5.265565375300367,5.148455925989888,5.01593977337305,4.962003760492248,4.863388395651124
33,correctly_classified,True,59904,884,THRESHOLD_ATTACK,0.07223420217445953,0.9866009744745836,0.5278349865818492,1.2273750917715762,1.2243991919216106,1.2241019060096543,1.2214321243407835,1.2208109083200571
34,correctly_classified,True,59904,884,LOGISTIC_REGRESSION,0.5182016716943187,1.0,0.8198417241341803,5.019470616511778,4.952208238680856,4.915895585219133,4.902932172992811,4.890655040429762
35,correctly_classified,True,59904,884,THRESHOLD_ENTROPY_ATTACK,0.07262207767722473,0.9866047119468544,0.5282304062064915,1.2373753189125831,1.2340404067951125,1.2333535997736975,1.2319806483460372,1.2307165828246456
36,correctly_classified,False,96,116,THRESHOLD_ATTACK,0.6300287356321839,1.0,0.858117816091954,2.55483931769862,2.5313013713234827,2.5184147497624934,2.5071962539002084,2.4999811351856946
37,correctly_classified,False,96,116,LOGISTIC_REGRESSION,0.6239224137931034,1.0,0.848778735632184,2.45717039240852,2.431187059426397,2.404510907260797,2.3771039949225163,2.3489251785295133
38,correctly_classified,False,96,116,THRESHOLD_ENTROPY_ATTACK,0.579382183908046,1.0,0.8409662356321839,2.3604585309008783,2.3489251785295133,2.3388382674578834,2.3199297405351427,2.316740542199916
