data_origin,image_number,predicted_distribution
Original Data,67,0.6906189918518066
Original Data,68,0.794677734375
Original Data,69,0.7493293285369873
Original Data,70,0.8961727619171143
Original Data,71,0.9271979928016663
Original Data,72,0.9269653558731079
Original Data,73,0.9456907510757446
Original Data,74,0.452737957239151
Original Data,75,0.9579741358757019
Original Data,76,0.8204091191291809
Original Data,77,0.6521891355514526
Original Data,78,0.737176775932312
Original Data,79,0.8268799781799316
Original Data,80,0.8733783960342407
Original Data,81,0.8674578666687012
Original Data,82,0.7543718814849854
Original Data,83,0.6114889979362488
Original Data,84,0.8256757259368896
Original Data,85,0.6088369488716125
Original Data,86,0.8465533256530762
Original Data,87,0.6302120089530945
Original Data,88,0.5894162654876709
Original Data,89,0.5214598774909973
Original Data,90,0.7844938039779663
Original Data,91,0.7677080035209656
Original Data,92,0.7375925183296204
Original Data,93,0.836062490940094
Original Data,94,0.8655323386192322
Original Data,95,0.6250727772712708
Original Data,96,0.7114832997322083
Original Data,97,0.4566727578639984
Original Data,98,0.9646110534667969
Original Data,99,0.9697831869125366
Original Data,100,0.8016149401664734
Original Data,101,0.912654459476471
Original Data,102,0.7484501004219055
Original Data,103,0.6986635327339172
Original Data,104,0.964009165763855
Original Data,105,0.8646847009658813
Original Data,106,0.7833413481712341
Original Data,107,0.8634438514709473
Original Data,108,0.3828357458114624
Original Data,109,0.8584558367729187
Original Data,110,0.8030547499656677
Original Data,111,0.6718378663063049
Original Data,112,0.7016309499740601
Original Data,113,0.6097571849822998
Original Data,114,0.9373999834060669
Original Data,115,0.8933720588684082
Original Data,116,0.7526883482933044
Original Data,117,0.9050034284591675
Original Data,118,0.8439949750900269
Original Data,119,0.6701371669769287
Original Data,120,0.8209947347640991
Original Data,121,0.9496493935585022
Original Data,122,0.514559268951416
Original Data,123,0.8302141427993774
Original Data,124,0.7984185218811035
Original Data,125,0.7140882015228271
Original Data,126,0.6994873285293579
Original Data,127,0.935218334197998
Original Data,128,0.7932290434837341
Original Data,129,0.5404918789863586
Original Data,130,0.3773747682571411
Original Data,131,0.7795091867446899
Original Data,132,0.6000778079032898
Original Data,133,0.7835920453071594
Original Data,134,0.5752423405647278
Original Data,135,0.8862900733947754
Original Data,136,0.8178589344024658
Original Data,137,0.6673054695129395
Original Data,138,0.8054521679878235
Original Data,139,0.8836873173713684
Original Data,140,0.9543020725250244
Original Data,141,0.8823716044425964
Original Data,142,0.8734195828437805
Original Data,143,0.773423969745636
Original Data,144,0.9049582481384277
Original Data,145,0.881353497505188
Original Data,146,0.6862210631370544
Original Data,147,0.8177424669265747
Original Data,148,0.832545280456543
Original Data,149,0.9659467339515686
Original Data,150,0.6376558542251587
Original Data,151,0.6955318450927734
Original Data,152,0.5932099223136902
Original Data,153,0.8482151627540588
Original Data,154,0.913898229598999
Original Data,155,0.5678352117538452
Original Data,156,0.6653500199317932
Original Data,157,0.9448651075363159
Original Data,158,0.8723482489585876
Original Data,159,0.7941949367523193
Original Data,160,0.7616264224052429
Original Data,161,0.6749584078788757
Original Data,162,0.8476253151893616
Original Data,163,0.9633955955505371
Original Data,164,0.8692174553871155
Original Data,165,0.5545200109481812
Original Data,166,0.2954130470752716
Original Data,167,0.5708317160606384
Original Data,168,0.870992124080658
Original Data,169,0.8865340948104858
Original Data,170,0.7499892115592957
Original Data,171,0.5798363089561462
Original Data,172,0.533275842666626
Original Data,173,0.43173953890800476
Original Data,174,0.9096931219100952
Original Data,175,0.9653600454330444
Original Data,176,0.9044164419174194
Original Data,177,0.7644144296646118
Original Data,178,0.9388261437416077
Original Data,179,0.8685745000839233
Original Data,180,0.5320286750793457
Original Data,181,0.7754536867141724
Original Data,182,0.4386599361896515
Original Data,183,0.9597376585006714
Original Data,184,0.505710780620575
Original Data,185,0.6988509297370911
Original Data,186,0.9240761399269104
Original Data,187,0.9043141603469849
Original Data,188,0.955951988697052
Original Data,189,0.70122891664505
Original Data,190,0.8746804594993591
Original Data,191,0.9304198622703552
Original Data,192,0.7275395393371582
Original Data,193,0.8937299251556396
Original Data,194,0.5383002758026123
Original Data,195,0.9843244552612305
Original Data,196,0.9254273176193237
Original Data,197,0.7409482002258301
Original Data,198,0.9347096681594849
Original Data,199,0.4778386354446411
Original Data,200,0.8173762559890747
Original Data,201,0.9015215039253235
Original Data,202,0.868999183177948
Original Data,203,0.798042893409729
Original Data,204,0.8559060096740723
Original Data,205,0.8233302235603333
Original Data,206,0.8889041543006897
Original Data,207,0.5974002480506897
Original Data,208,0.8628571033477783
Original Data,209,0.5499885082244873
Original Data,210,0.6246783137321472
Original Data,211,0.6322058439254761
Original Data,212,0.8391379714012146
Original Data,213,0.8607494235038757
Original Data,214,0.3666165769100189
Original Data,215,0.8072715401649475
Original Data,216,0.7394111156463623
Original Data,217,0.7171871066093445
Original Data,218,0.7001168727874756
Original Data,219,0.8812383413314819
Original Data,220,0.9342119097709656
Original Data,221,0.8572288155555725
Original Data,222,0.3805989623069763
Original Data,223,0.879535973072052
Original Data,224,0.7580446004867554
Original Data,225,0.4852474331855774
Original Data,226,0.8483403921127319
Original Data,227,0.8876603841781616
Original Data,228,0.3928811848163605
Original Data,229,0.744024395942688
Original Data,230,0.35536864399909973
Original Data,231,0.7686576247215271
Original Data,232,0.9010539650917053
Original Data,233,0.9368970394134521
Original Data,234,0.9414506554603577
Original Data,235,0.790867805480957
Original Data,236,0.6967493295669556
Original Data,237,0.4443689286708832
Original Data,238,0.7717581391334534
Original Data,239,0.8718962669372559
Original Data,240,0.8883798122406006
Original Data,241,0.6494253873825073
Original Data,242,0.7685487270355225
Original Data,243,0.8872265219688416
Original Data,244,0.8673570156097412
Original Data,245,0.9086683392524719
Original Data,246,0.797086238861084
Original Data,247,0.8192065358161926
Original Data,248,0.8649086356163025
Original Data,249,0.8938305974006653
Original Data,250,0.8343906402587891
Original Data,251,0.5965679287910461
Original Data,252,0.4120456278324127
Original Data,253,0.7860633730888367
Original Data,254,0.8303462862968445
Original Data,255,0.7694461345672607
Original Data,256,0.538117527961731
Original Data,257,0.5826062560081482
Original Data,258,0.9245874285697937
Original Data,259,0.9374719858169556
Original Data,260,0.5158522725105286
Original Data,261,0.7029813528060913
Original Data,262,0.5647087693214417
Original Data,263,0.9023258686065674
Original Data,264,0.8034442067146301
Original Data,265,0.6479563117027283
Original Data,266,0.77186518907547
Original Data,267,0.819012463092804
Original Data,268,0.9228872060775757
Original Data,269,0.6095675826072693
Original Data,270,0.6481117010116577
Original Data,271,0.8288295865058899
Original Data,272,0.37058383226394653
Original Data,273,0.5959473252296448
Original Data,274,0.8739502429962158
Original Data,275,0.6011472344398499
Original Data,276,0.9373891353607178
Original Data,277,0.5707587003707886
Original Data,278,0.8775325417518616
Original Data,279,0.7017132043838501
Original Data,280,0.7098272442817688
Original Data,281,0.9539016485214233
Original Data,282,0.6420164108276367
Original Data,283,0.30486828088760376
Original Data,284,0.541001558303833
Original Data,285,0.7242109775543213
Original Data,286,0.7257270812988281
Original Data,287,0.9480668306350708
Original Data,288,0.8432238101959229
Original Data,289,0.6260433793067932
Original Data,290,0.4331248104572296
Original Data,291,0.879828155040741
Original Data,292,0.7765048146247864
Original Data,293,0.9393018484115601
Original Data,294,0.918790340423584
Original Data,295,0.6049520969390869
Original Data,296,0.6121909618377686
Original Data,297,0.9159144163131714
Original Data,298,0.8487793207168579
Original Data,299,0.6641312837600708
Original Data,300,0.49792036414146423
Original Data,301,0.896853506565094
Original Data,302,0.5529858469963074
Original Data,303,0.8478236794471741
Original Data,304,0.8480724096298218
Original Data,305,0.5434317588806152
Original Data,306,0.8547929525375366
Original Data,307,0.716404378414154
Original Data,308,0.8311821818351746
Original Data,309,0.41808757185935974
Original Data,310,0.8265833854675293
Original Data,311,0.8145493268966675
Original Data,312,0.8612084984779358
Original Data,313,0.9185634255409241
Original Data,314,0.7601340413093567
Original Data,315,0.9331373572349548
Original Data,316,0.7879613637924194
Original Data,317,0.7992222309112549
Original Data,318,0.9269217252731323
Original Data,319,0.8484663963317871
Original Data,320,0.787980854511261
Original Data,321,0.8739105463027954
Original Data,322,0.7634258270263672
Original Data,323,0.8755152821540833
Original Data,324,0.9186988472938538
Original Data,325,0.8044032454490662
Original Data,326,0.8327566385269165
Original Data,327,0.79682457447052
Original Data,328,0.4539244771003723
Original Data,329,0.8697375059127808
Original Data,330,0.8084965944290161
Original Data,331,0.632646918296814
Original Data,332,0.5958721041679382
Original Data,333,0.8844200968742371
Original Data,334,0.7280957698822021
Original Data,335,0.4840715825557709
Original Data,336,0.7777455449104309
Original Data,337,0.5724585056304932
Original Data,338,0.9205213785171509
Original Data,339,0.6910683512687683
Original Data,340,0.7203661799430847
Original Data,341,0.3709854781627655
Original Data,342,0.806892991065979
Original Data,343,0.9267339110374451
Original Data,344,0.8086049556732178
Original Data,345,0.878251314163208
Original Data,346,0.9250226616859436
Original Data,347,0.9389793872833252
Original Data,348,0.8270519971847534
Original Data,349,0.8780011534690857
Original Data,350,0.9115374088287354
Original Data,351,0.8448715806007385
Original Data,352,0.6933982968330383
Original Data,353,0.523010790348053
Original Data,354,0.8489927649497986
Original Data,355,0.7862820625305176
Original Data,356,0.8565194010734558
Original Data,357,0.5405859351158142
Original Data,358,0.902205765247345
Original Data,359,0.6321898698806763
Original Data,360,0.7710660099983215
Original Data,361,0.8175868391990662
Original Data,362,0.9289419651031494
Original Data,363,0.9212983846664429
Original Data,364,0.9479949474334717
Original Data,365,0.49858358502388
Original Data,366,0.9064935445785522
Original Data,367,0.7782581448554993
Original Data,368,0.9393742084503174
Original Data,369,0.7581371068954468
Original Data,370,0.9199436902999878
Original Data,371,0.6400949358940125
Original Data,372,0.7190037369728088
Original Data,373,0.8233839869499207
Original Data,374,0.8369380235671997
Original Data,375,0.9851377010345459
Original Data,376,0.9583267569541931
Original Data,377,0.7516194581985474
Original Data,378,0.8160570859909058
Original Data,379,0.8234623670578003
Original Data,380,0.9323999881744385
Original Data,381,0.5357123613357544
Original Data,382,0.6185446381568909
Original Data,383,0.969885528087616
Original Data,384,0.6602871417999268
Original Data,385,0.677301287651062
Original Data,386,0.9399994015693665
Original Data,387,0.9454579949378967
Original Data,388,0.9378701448440552
Original Data,389,0.6491336822509766
Original Data,390,0.860211968421936
Original Data,391,0.7737925052642822
Original Data,392,0.4575375020503998
Original Data,393,0.9109201431274414
Original Data,394,0.6196014285087585
Original Data,395,0.5358307361602783
Original Data,396,0.9294151067733765
Original Data,397,0.8089403510093689
Original Data,398,0.6521031260490417
Original Data,399,0.4186973571777344
Original Data,400,0.8647246956825256
Original Data,401,0.8331111669540405
Original Data,402,0.74513840675354
Original Data,403,0.9094144701957703
Original Data,404,0.8520150780677795
Original Data,405,0.8893550634384155
Original Data,406,0.9531208276748657
Original Data,407,0.599652886390686
Original Data,408,0.8608237504959106
Original Data,409,0.7073361873626709
Original Data,410,0.9545997977256775
Original Data,411,0.6037001609802246
Original Data,412,0.84336918592453
Original Data,413,0.8673179149627686
Original Data,414,0.9513867497444153
Original Data,415,0.9459621906280518
Original Data,416,0.8151372075080872
Original Data,417,0.9081544280052185
Original Data,418,0.7792819142341614
Original Data,419,0.5038875341415405
Original Data,420,0.6315572261810303
Original Data,421,0.852898120880127
Original Data,422,0.7307438254356384
Original Data,423,0.9158141016960144
Original Data,424,0.7383888363838196
Original Data,425,0.9754748940467834
Original Data,426,0.6405996680259705
Original Data,427,0.4206137955188751
Original Data,428,0.9448441863059998
Original Data,429,0.8529893755912781
Original Data,430,0.9555673003196716
Original Data,431,0.6133167743682861
Original Data,432,0.9133962392807007
Original Data,433,0.8292393088340759
Original Data,434,0.5853325724601746
Original Data,435,0.7553443312644958
Original Data,436,0.7579029202461243
Original Data,437,0.8969619870185852
Original Data,438,0.9261122345924377
Original Data,439,0.685530960559845
Original Data,440,0.7822636365890503
Original Data,441,0.8877928256988525
Original Data,442,0.6613660454750061
Original Data,443,0.9031884074211121
Original Data,444,0.9158117175102234
Original Data,445,0.7712002992630005
Original Data,446,0.9568094611167908
Original Data,447,0.7225314974784851
Original Data,448,0.8882492184638977
Original Data,449,0.8238039612770081
Original Data,450,0.9678189158439636
Original Data,451,0.8762692809104919
Original Data,452,0.644450843334198
Original Data,453,0.8160598278045654
Original Data,454,0.956027626991272
Original Data,455,0.7794672846794128
Original Data,456,0.4749819040298462
Original Data,457,0.7542645931243896
Original Data,458,0.7485944032669067
Original Data,459,0.7075236439704895
Original Data,460,0.9438532590866089
Original Data,461,0.6912305951118469
Original Data,462,0.431910902261734
Original Data,463,0.7773056626319885
Original Data,464,0.772373378276825
Original Data,465,0.6241343021392822
Original Data,466,0.8986130952835083
Original Data,467,0.94668048620224
Original Data,468,0.6516695022583008
Original Data,469,0.7063559293746948
Original Data,470,0.6056480407714844
Original Data,471,0.9044111371040344
Original Data,472,0.8985841870307922
Original Data,473,0.5461320281028748
Original Data,474,0.614995539188385
Original Data,475,0.8148355484008789
Original Data,476,0.7862173914909363
Original Data,477,0.5097077488899231
Original Data,478,0.8590990304946899
Original Data,479,0.6546496152877808
Original Data,480,0.9531031847000122
Original Data,481,0.9201793670654297
Original Data,482,0.8920866250991821
Original Data,483,0.6005743741989136
Original Data,484,0.8400982618331909
Original Data,485,0.5085144639015198
Original Data,486,0.46415501832962036
Original Data,487,0.7874716520309448
Original Data,488,0.8875722885131836
Original Data,489,0.5535711050033569
Original Data,490,0.9485794901847839
Original Data,491,0.7824403047561646
Original Data,492,0.8796049952507019
Original Data,493,0.8412032723426819
Original Data,494,0.7860739827156067
Original Data,495,0.6495574116706848
Original Data,496,0.7336187958717346
Original Data,497,0.7256415486335754
Original Data,498,0.9268392324447632
Original Data,499,0.9395114183425903
Original Data,500,0.6716253757476807
Original Data,501,0.8217451572418213
Original Data,502,0.5789870023727417
Original Data,503,0.8030471205711365
Original Data,504,0.7264567017555237
Original Data,505,0.6389906406402588
Original Data,506,0.9300391674041748
Original Data,507,0.5420984625816345
Original Data,508,0.7786676287651062
Original Data,509,0.6627529263496399
Original Data,510,0.8741156458854675
Original Data,511,0.8231433033943176
Original Data,512,0.6996224522590637
Original Data,513,0.9023104310035706
Original Data,514,0.7546308636665344
Original Data,515,0.7186374664306641
Original Data,516,0.7596381306648254
Original Data,517,0.7904220819473267
Original Data,518,0.8529045581817627
Original Data,519,0.8115204572677612
Original Data,520,0.558745801448822
Original Data,521,0.8612497448921204
Original Data,522,0.7529611587524414
Original Data,523,0.8251661658287048
Original Data,524,0.8341802358627319
Original Data,525,0.9219412803649902
Original Data,526,0.783826470375061
Original Data,527,0.7329733967781067
Original Data,528,0.9375664591789246
Original Data,529,0.8981302976608276
Original Data,530,0.8107405304908752
Original Data,531,0.7739546298980713
Original Data,532,0.7644134759902954
Original Data,533,0.8087380528450012
Original Data,534,0.700962483882904
Original Data,535,0.9396231770515442
Original Data,536,0.7007602453231812
Original Data,537,0.9263666868209839
Original Data,538,0.7525856494903564
Original Data,539,0.8746922016143799
Original Data,540,0.9164718389511108
Original Data,541,0.8235943913459778
Original Data,542,0.7985037565231323
Original Data,543,0.9241957664489746
Original Data,544,0.6611525416374207
Original Data,545,0.767658531665802
Original Data,546,0.6947705149650574
Original Data,547,0.5004432201385498
Original Data,548,0.9455544352531433
Original Data,549,0.879027783870697
Original Data,550,0.8985971212387085
Original Data,551,0.8370267152786255
Original Data,552,0.7998744249343872
Original Data,553,0.7816439867019653
Original Data,554,0.9602817893028259
Original Data,555,0.8956052660942078
Original Data,556,0.5314823389053345
Original Data,557,0.7762508988380432
Original Data,558,0.7210522890090942
Original Data,559,0.4263329803943634
Original Data,560,0.9247968792915344
Original Data,561,0.8744010329246521
Original Data,562,0.49728700518608093
Original Data,563,0.7447226047515869
Original Data,564,0.7299305200576782
Original Data,565,0.7958731651306152
Original Data,566,0.8233650922775269
Original Data,567,0.5421977639198303
Original Data,568,0.9562349915504456
Original Data,569,0.8557620048522949
Original Data,570,0.7011017799377441
Original Data,571,0.6907129883766174
Original Data,572,0.8962509632110596
Original Data,573,0.8856610059738159
Original Data,574,0.5758255124092102
Original Data,575,0.6381654143333435
Original Data,576,0.4837222099304199
Original Data,577,0.8441618084907532
Original Data,578,0.7044633030891418
Original Data,579,0.6943899989128113
Original Data,580,0.4341859519481659
Original Data,581,0.7111048698425293
Original Data,582,0.7814333438873291
Original Data,583,0.3802693784236908
Original Data,584,0.8954235315322876
Original Data,585,0.9113340973854065
Original Data,586,0.7022604942321777
Original Data,587,0.8643155694007874
Original Data,588,0.542763352394104
Original Data,589,0.7072574496269226
Original Data,590,0.8641853928565979
Original Data,591,0.924663782119751
Original Data,592,0.7755663394927979
Original Data,593,0.558615505695343
Original Data,594,0.7567383646965027
Original Data,595,0.9517212510108948
Original Data,596,0.5372138619422913
Original Data,597,0.5210515260696411
Original Data,598,0.7040022015571594
Original Data,599,0.9494665265083313
